startTime,temperature,windSpeed,shortForecast
2025-03-29T17:00:00-04:00,57,12 mph,Slight Chance Rain Showers
2025-03-29T18:00:00-04:00,57,12 mph,Slight Chance Rain Showers
2025-03-29T19:00:00-04:00,56,12 mph,Slight Chance Rain Showers
2025-03-29T20:00:00-04:00,55,12 mph,Chance Rain Showers
2025-03-29T21:00:00-04:00,55,12 mph,Chance Rain Showers
2025-03-29T22:00:00-04:00,54,12 mph,Chance Rain Showers
2025-03-29T23:00:00-04:00,54,10 mph,Chance Rain Showers
2025-03-30T00:00:00-04:00,53,10 mph,Chance Rain Showers
2025-03-30T01:00:00-04:00,53,10 mph,Chance Rain Showers
2025-03-30T02:00:00-04:00,52,10 mph,Chance Rain Showers
2025-03-30T03:00:00-04:00,52,9 mph,Chance Rain Showers
2025-03-30T04:00:00-04:00,51,10 mph,Chance Rain Showers
2025-03-30T05:00:00-04:00,51,10 mph,Chance Rain Showers
2025-03-30T06:00:00-04:00,51,10 mph,Chance Rain Showers
2025-03-30T07:00:00-04:00,51,10 mph,Chance Rain Showers
2025-03-30T08:00:00-04:00,51,10 mph,Chance Rain Showers
2025-03-30T09:00:00-04:00,51,10 mph,Chance Rain Showers
2025-03-30T10:00:00-04:00,50,10 mph,Chance Rain Showers
2025-03-30T11:00:00-04:00,50,10 mph,Chance Rain Showers
2025-03-30T12:00:00-04:00,50,12 mph,Chance Rain Showers
2025-03-30T13:00:00-04:00,51,12 mph,Chance Rain Showers
2025-03-30T14:00:00-04:00,51,12 mph,Chance Rain Showers
2025-03-30T15:00:00-04:00,51,12 mph,Chance Rain Showers
2025-03-30T16:00:00-04:00,51,12 mph,Chance Rain Showers
2025-03-30T17:00:00-04:00,51,12 mph,Chance Rain Showers
2025-03-30T18:00:00-04:00,52,12 mph,Chance Rain Showers
2025-03-30T19:00:00-04:00,52,12 mph,Chance Rain Showers
2025-03-30T20:00:00-04:00,52,13 mph,Rain Showers Likely
2025-03-30T21:00:00-04:00,52,13 mph,Rain Showers Likely
2025-03-30T22:00:00-04:00,52,13 mph,Rain Showers Likely
2025-03-30T23:00:00-04:00,52,12 mph,Rain Showers Likely
2025-03-31T00:00:00-04:00,52,12 mph,Rain Showers Likely
2025-03-31T01:00:00-04:00,53,12 mph,Rain Showers Likely
2025-03-31T02:00:00-04:00,53,12 mph,Chance Rain Showers
2025-03-31T03:00:00-04:00,53,12 mph,Chance Rain Showers
2025-03-31T04:00:00-04:00,53,12 mph,Chance Rain Showers
2025-03-31T05:00:00-04:00,53,12 mph,Chance Rain Showers
2025-03-31T06:00:00-04:00,53,12 mph,Chance Rain Showers
2025-03-31T07:00:00-04:00,54,12 mph,Chance Rain Showers
2025-03-31T08:00:00-04:00,54,13 mph,Chance Light Rain
2025-03-31T09:00:00-04:00,54,12 mph,Chance Light Rain
2025-03-31T10:00:00-04:00,54,12 mph,Chance Light Rain
2025-03-31T11:00:00-04:00,54,12 mph,Chance Light Rain
2025-03-31T12:00:00-04:00,54,12 mph,Chance Light Rain
2025-03-31T13:00:00-04:00,55,13 mph,Chance Light Rain
2025-03-31T14:00:00-04:00,56,14 mph,Chance Light Rain
2025-03-31T15:00:00-04:00,57,13 mph,Chance Light Rain
2025-03-31T16:00:00-04:00,57,13 mph,Chance Light Rain
2025-03-31T17:00:00-04:00,57,12 mph,Chance Light Rain
2025-03-31T18:00:00-04:00,57,13 mph,Chance Light Rain
2025-03-31T19:00:00-04:00,56,13 mph,Chance Light Rain
2025-03-31T20:00:00-04:00,56,14 mph,Chance Rain Showers
2025-03-31T21:00:00-04:00,55,14 mph,Chance Rain Showers
2025-03-31T22:00:00-04:00,55,14 mph,Chance Rain Showers
2025-03-31T23:00:00-04:00,54,14 mph,Chance Rain Showers
2025-04-01T00:00:00-04:00,53,13 mph,Chance Rain Showers
2025-04-01T01:00:00-04:00,52,13 mph,Chance Rain Showers
2025-04-01T02:00:00-04:00,51,13 mph,Slight Chance Rain Showers
2025-04-01T03:00:00-04:00,50,13 mph,Slight Chance Rain Showers
