market_ticker,timestamp,open,high,low,close,volume,open_interest,label
KXHIGHNY-25APR14-B61.5,2025-04-14 04:00:00,0.06,0.14,0.06,0.12,1106,1052,0
KXHIGHNY-25APR14-B61.5,2025-04-15 04:00:00,0.08,0.21,0.01,0.01,4836,3280,0
KXHIGHNY-25APR13-T60,2025-04-14 04:00:00,0.01,0.12,0.01,0.02,2887,2640,0
KXHIGHNY-25APR13-B59.5,2025-04-13 04:00:00,0.13,0.27,0.13,0.19,159,149,0
KXHIGHNY-25APR13-B59.5,2025-04-14 04:00:00,0.18,0.28,0.01,0.04,4498,2969,0
KXHIGHNY-25APR13-B57.5,2025-04-13 04:00:00,0.33,0.4,0.33,0.34,1114,985,0
KXHIGHNY-25APR13-B57.5,2025-04-14 04:00:00,0.34,0.99,0.1,0.97,10379,5650,1
KXHIGHNY-25APR13-B55.5,2025-04-13 04:00:00,0.21,0.43,0.21,0.23,1270,1123,0
KXHIGHNY-25APR13-B55.5,2025-04-14 04:00:00,0.24,0.59,0.01,0.01,12281,9178,0
KXHIGHNY-25APR13-B53.5,2025-04-13 04:00:00,0.09,0.23,0.02,0.19,2316,2225,0
KXHIGHNY-25APR13-B53.5,2025-04-14 04:00:00,0.18,0.38,0.01,0.01,17234,12926,0
KXHIGHNY-25APR13-T53,2025-04-13 04:00:00,0.05,0.13,0.05,0.09,1526,1495,0
KXHIGHNY-25APR13-T53,2025-04-14 04:00:00,0.08,0.16,0.01,0.01,7049,5956,0
KXHIGHNY-25APR12-T48,2025-04-12 04:00:00,0.05,0.05,0.01,0.01,149,149,0
KXHIGHNY-25APR12-T48,2025-04-13 04:00:00,0.03,0.03,0.01,0.01,80,229,0
KXHIGHNY-25APR12-T41,2025-04-12 04:00:00,0.06,0.25,0.06,0.22,4783,3245,0
KXHIGHNY-25APR12-T41,2025-04-13 04:00:00,0.07,0.98,0.01,0.85,26489,13778,0
KXHIGHNY-25APR12-B47.5,2025-04-12 04:00:00,0.04,0.04,0.01,0.01,73,73,0
KXHIGHNY-25APR12-B47.5,2025-04-13 04:00:00,0.03,0.05,0.01,0.02,234,307,0
KXHIGHNY-25APR12-B45.5,2025-04-12 04:00:00,0.22,0.22,0.06,0.06,713,484,0
KXHIGHNY-25APR12-B45.5,2025-04-13 04:00:00,0.07,0.09,0.01,0.01,1674,1774,0
KXHIGHNY-25APR12-B43.5,2025-04-12 04:00:00,0.44,0.57,0.21,0.21,3763,3061,0
KXHIGHNY-25APR12-B43.5,2025-04-13 04:00:00,0.31,0.44,0.01,0.01,5186,4941,0
KXHIGHNY-25APR12-B41.5,2025-04-12 04:00:00,0.21,0.84,0.16,0.84,6410,4406,0
KXHIGHNY-25APR12-B41.5,2025-04-13 04:00:00,0.63,0.82,0.01,0.07,17380,13608,0
KXHIGHNY-25APR11-T55,2025-04-11 04:00:00,0.01,0.01,0.01,0.01,53,53,0
KXHIGHNY-25APR11-T48,2025-04-11 04:00:00,0.17,0.33,0.09,0.14,1525,868,0
KXHIGHNY-25APR11-T48,2025-04-12 04:00:00,0.18,0.99,0.13,0.99,14374,9376,1
KXHIGHNY-25APR11-B54.5,2025-04-11 04:00:00,0.04,0.08,0.02,0.02,942,899,0
KXHIGHNY-25APR11-B54.5,2025-04-12 04:00:00,0.02,0.02,0.01,0.01,81,950,0
KXHIGHNY-25APR11-B52.5,2025-04-11 04:00:00,0.09,0.1,0.06,0.06,1077,971,0
KXHIGHNY-25APR11-B52.5,2025-04-12 04:00:00,0.05,0.05,0.01,0.01,261,1204,0
KXHIGHNY-25APR11-B50.5,2025-04-11 04:00:00,0.24,0.41,0.19,0.33,1759,1628,0
KXHIGHNY-25APR11-B50.5,2025-04-12 04:00:00,0.33,0.35,0.01,0.02,3611,3050,0
KXHIGHNY-25APR11-B48.5,2025-04-11 04:00:00,0.44,0.51,0.35,0.48,2859,2476,0
KXHIGHNY-25APR11-B48.5,2025-04-12 04:00:00,0.51,0.63,0.01,0.01,12608,7386,0
KXHIGHNY-25APR10-T56,2025-04-11 04:00:00,0.01,0.05,0.01,0.05,83,83,0
KXHIGHNY-25APR10-B55.5,2025-04-10 04:00:00,0.06,0.07,0.02,0.05,238,238,0
KXHIGHNY-25APR10-B55.5,2025-04-11 04:00:00,0.04,0.07,0.01,0.01,1724,1345,0
KXHIGHNY-25APR10-B53.5,2025-04-10 04:00:00,0.17,0.4,0.12,0.17,579,377,0
KXHIGHNY-25APR10-B53.5,2025-04-11 04:00:00,0.16,0.27,0.01,0.01,4704,3190,0
KXHIGHNY-25APR10-B51.5,2025-04-10 04:00:00,0.52,0.52,0.34,0.44,730,591,0
KXHIGHNY-25APR10-B51.5,2025-04-11 04:00:00,0.43,0.99,0.31,0.99,16075,10565,1
KXHIGHNY-25APR10-B49.5,2025-04-10 04:00:00,0.31,0.41,0.29,0.37,1230,1079,0
KXHIGHNY-25APR10-B49.5,2025-04-11 04:00:00,0.35,0.75,0.01,0.01,48816,43784,0
KXHIGHNY-25APR10-T49,2025-04-10 04:00:00,0.1,0.12,0.04,0.08,90,79,0
KXHIGHNY-25APR10-T49,2025-04-11 04:00:00,0.04,0.09,0.01,0.01,17060,16959,0
KXHIGHNY-25APR09-T54,2025-04-09 04:00:00,0.01,0.14,0.01,0.01,415,407,0
KXHIGHNY-25APR09-T54,2025-04-10 04:00:00,0.01,0.04,0.01,0.03,871,1274,0
KXHIGHNY-25APR09-T47,2025-04-09 04:00:00,0.16,0.26,0.03,0.08,1105,1093,0
KXHIGHNY-25APR09-T47,2025-04-10 04:00:00,0.04,0.11,0.01,0.01,9450,5727,0
KXHIGHNY-25APR09-B53.5,2025-04-09 04:00:00,0.01,0.02,0.01,0.01,607,607,0
KXHIGHNY-25APR09-B53.5,2025-04-10 04:00:00,0.02,0.16,0.01,0.01,1009,1489,0
KXHIGHNY-25APR09-B51.5,2025-04-09 04:00:00,0.35,0.42,0.08,0.11,1230,1021,0
KXHIGHNY-25APR09-B51.5,2025-04-10 04:00:00,0.09,0.3,0.01,0.01,7068,3725,0
KXHIGHNY-25APR09-B49.5,2025-04-09 04:00:00,0.23,0.54,0.23,0.41,1654,1352,0
KXHIGHNY-25APR09-B49.5,2025-04-10 04:00:00,0.41,0.99,0.09,0.99,23210,8585,1
KXHIGHNY-25APR09-B47.5,2025-04-09 04:00:00,0.17,0.52,0.17,0.51,1507,1463,0
KXHIGHNY-25APR09-B47.5,2025-04-10 04:00:00,0.51,0.95,0.01,0.01,44109,25383,0
KXHIGHNY-25APR08-T53,2025-04-08 04:00:00,0.01,0.01,0.01,0.01,68,68,0
KXHIGHNY-25APR08-T46,2025-04-08 04:00:00,0.16,0.72,0.16,0.68,3104,2524,0
KXHIGHNY-25APR08-T46,2025-04-09 04:00:00,0.67,0.99,0.43,0.99,18077,10903,1
KXHIGHNY-25APR08-B52.5,2025-04-08 04:00:00,0.03,0.06,0.01,0.01,270,268,0
KXHIGHNY-25APR08-B50.5,2025-04-08 04:00:00,0.02,0.1,0.02,0.03,288,235,0
KXHIGHNY-25APR08-B50.5,2025-04-09 04:00:00,0.03,0.03,0.01,0.01,885,1115,0
KXHIGHNY-25APR08-B48.5,2025-04-08 04:00:00,0.46,0.46,0.02,0.03,1086,699,0
KXHIGHNY-25APR08-B48.5,2025-04-09 04:00:00,0.03,0.2,0.01,0.02,1771,1377,0
KXHIGHNY-25APR08-B46.5,2025-04-08 04:00:00,0.35,0.41,0.17,0.39,405,196,0
KXHIGHNY-25APR08-B46.5,2025-04-09 04:00:00,0.36,0.46,0.01,0.01,6346,4457,0
KXHIGHNY-25APR07-T53,2025-04-07 04:00:00,0.05,0.26,0.01,0.01,491,418,0
KXHIGHNY-25APR07-T53,2025-04-08 04:00:00,0.01,0.23,0.01,0.03,84,482,0
KXHIGHNY-25APR07-B52.5,2025-04-07 04:00:00,0.05,0.26,0.02,0.03,1881,1170,0
KXHIGHNY-25APR07-B52.5,2025-04-08 04:00:00,0.06,0.19,0.01,0.01,3121,3599,0
KXHIGHNY-25APR07-T46,2025-04-07 04:00:00,0.09,0.09,0.01,0.01,1667,687,0
KXHIGHNY-25APR07-T46,2025-04-08 04:00:00,0.01,0.01,0.01,0.01,9953,10640,0
KXHIGHNY-25APR07-B50.5,2025-04-07 04:00:00,0.15,0.62,0.1,0.16,2640,826,0
KXHIGHNY-25APR07-B50.5,2025-04-08 04:00:00,0.28,0.99,0.19,0.99,11607,9451,1
