timestamp,temperature,windSpeed,humidity
2025-03-21T22:51:00+00:00,9.4,16.56,19.472992486747
2025-03-21T21:51:00+00:00,10,,
2025-03-21T20:51:00+00:00,10,,
2025-03-21T19:51:00+00:00,10,,
2025-03-21T18:51:00+00:00,9.4,14.76,21.274151853036
2025-03-21T17:51:00+00:00,8.3,14.76,25.012709121122
2025-03-21T16:51:00+00:00,7.8,,
2025-03-21T15:51:00+00:00,6.1,,33.237673252127
2025-03-21T14:51:00+00:00,5,,37.588391345536
2025-03-21T13:51:00+00:00,3.9,18.36,44.200514666441
2025-03-21T12:51:00+00:00,3.3,,52.111185733265
2025-03-21T11:51:00+00:00,3.3,18.36,61.958017064999
2025-03-21T09:51:00+00:00,5.6,24.12,
2025-03-21T08:51:00+00:00,7.8,16.56,67.709201404014
2025-03-21T08:18:00+00:00,8.3,5.4,73.810201907473
2025-03-21T07:51:00+00:00,8.3,,73.810201907473
2025-03-21T06:51:00+00:00,8.3,16.56,79.712411892316
2025-03-21T06:10:00+00:00,8.9,9.36,79.799015306089
2025-03-21T05:51:00+00:00,8.9,14.76,86.090017231195
2025-03-21T04:51:00+00:00,9.4,0,89.741574390528
2025-03-21T03:42:00+00:00,9.4,5.4,92.842632704448
2025-03-21T02:26:00+00:00,10,7.56,92.875368778185
2025-03-21T01:51:00+00:00,10,18.36,89.181204957654
2025-03-21T01:39:00+00:00,9.4,11.16,92.842632704448
2025-03-21T00:51:00+00:00,9.4,7.56,89.741574390528
2025-03-20T23:51:00+00:00,9.4,12.96,83.239115566642
2025-03-20T22:51:00+00:00,9.4,,83.239115566642
2025-03-20T21:51:00+00:00,10,14.76,82.744137389344
2025-03-20T20:51:00+00:00,10,9.36,79.956420984676
2025-03-20T19:51:00+00:00,10,11.16,76.720923803697
2025-03-20T19:32:00+00:00,11.1,11.16,74.307349532131
2025-03-20T18:51:00+00:00,10,12.96,76.720923803697
2025-03-20T17:51:00+00:00,8.9,16.56,79.799015306089
2025-03-20T16:51:00+00:00,8.9,12.96,79.799015306089
2025-03-20T15:51:00+00:00,8.3,9.36,83.104539551896
2025-03-20T14:51:00+00:00,7.8,,89.000869667825
2025-03-20T13:58:00+00:00,7.8,,89.000869667825
2025-03-20T12:51:00+00:00,6.7,9.36,92.692530298592
2025-03-20T11:34:00+00:00,6.1,5.4,92.658542027292
2025-03-20T10:51:00+00:00,6.1,0,88.858482392758
2025-03-20T10:31:00+00:00,6.1,9.36,88.858482392758
2025-03-20T09:51:00+00:00,6.1,11.16,88.858482392758
2025-03-20T08:51:00+00:00,5.6,5.4,88.816089115542
2025-03-20T08:23:00+00:00,5.6,,88.816089115542
2025-03-20T07:51:00+00:00,6.1,7.56,85.79775135553
2025-03-20T07:37:00+00:00,6.1,12.96,85.79775135553
2025-03-20T07:10:00+00:00,6.1,0,88.858482392758
2025-03-20T05:51:00+00:00,6.7,11.16,85.262756549264
2025-03-20T03:59:00+00:00,8.3,0,76.443291612891
2025-03-20T02:51:00+00:00,8.9,11.16,70.874364547581
2025-03-20T01:51:00+00:00,9.4,9.36,63.409642504153
2025-03-20T00:51:00+00:00,10.6,9.36,49.998796124422
2025-03-19T23:51:00+00:00,11.1,5.4,50.138015445735
2025-03-19T22:51:00+00:00,11.7,14.76,41.080552600978
2025-03-19T21:51:00+00:00,13.3,11.16,
2025-03-19T20:51:00+00:00,15.6,9.36,
2025-03-19T19:51:00+00:00,16.1,11.16,
2025-03-19T18:51:00+00:00,16.7,11.16,
2025-03-19T17:51:00+00:00,16.1,11.16,21.250913093791
2025-03-19T16:51:00+00:00,15,7.56,25.936552105509
2025-03-19T15:51:00+00:00,13.9,5.4,32.808572074644
2025-03-19T14:51:00+00:00,12.2,7.56,36.661559290833
2025-03-19T13:51:00+00:00,10.6,5.4,42.285496239344
2025-03-19T12:51:00+00:00,8.3,9.36,49.352542906157
2025-03-19T10:51:00+00:00,6.7,0,55.046476441697
2025-03-19T09:51:00+00:00,7.2,,53.191916466365
2025-03-19T08:51:00+00:00,7.2,0,55.585563066252
2025-03-19T07:51:00+00:00,7.8,5.4,47.072646669598
2025-03-19T06:51:00+00:00,8.9,0,42.095680379388
2025-03-19T05:51:00+00:00,10,5.4,
2025-03-19T04:51:00+00:00,10,0,30.234663570282
2025-03-19T03:51:00+00:00,11.7,0,
2025-03-19T02:51:00+00:00,11.7,0,
2025-03-19T00:51:00+00:00,12.8,0,
2025-03-18T23:51:00+00:00,12.8,7.56,24.174355909253
2025-03-18T22:51:00+00:00,15,5.4,
2025-03-18T21:51:00+00:00,16.1,0,16.461926491148
